Ward,Income 2000,Income 2016,% Change Income Price
Ward 1,83546,134463,60.94%
Ward 2,211312,225994,6.95%
Ward 3,269171,281764,4.68%
Ward 4,117410,140497,19.66%
Ward 5,78483,97593,24.35%
Ward 6,92864,159151,71.38%
Ward 7,64807,62281,-3.90%
Ward 8,51478,52422,1.83%
