School Ward 2016-17,Sector,School name,Grade band,% Non-white 2014-15,% White 2014-15,% Non-white 2016-17,% White 2016-17,PK-12 Enrollment 2014-15,PK-12 Enrollment 2016-17,% living in School Ward 2016-17,% Change in Race/Ethnic Group between 2014-15 and 2016-17,% Change in Economic Group between 2014-15 and 2016-17
Ward 6,Charter,AppleTree Early Learning Center PCS Southwest,Early Childhood,0.91,0.08,0.96,0.04,86.0,108.0,0.37,0.0,0.0
Ward 6,Charter,Center City PCS Shaw,Elementary/Middle,1.0,0.0,0.99,0.0,241.0,234.0,0.35,0.0,1.0
Ward 6,Charter,Eagle Academy PCS Capitol Riverfront,Elementary,0.9600000000000001,0.03,0.9600000000000001,0.04,146.0,144.0,0.37,0.0,0.0
Ward 6,Charter,KIPP DC WILL Academy PCS,Middle,0.99,0.0,0.99,0.0,344.0,346.0,0.25,0.0,0.0
Ward 6,Charter,Two Rivers PCS 4th St,Elementary/Middle,0.74,0.25,0.78,0.22,518.0,527.0,0.27,0.0,0.0
Ward 6,DCPS,Amidon Bowen ES,Elementary/Middle,0.9600000000000001,0.03,0.9600000000000001,0.05,345.0,350.0,0.75,0.0,0.0
Ward 6,DCPS,Brent ES,Elementary,0.36000000000000004,0.64,0.34,0.66,368.0,404.0,0.82,0.0,0.0
Ward 6,DCPS,Capitol Hill Montessori School at Logan,Elementary/Middle,0.65,0.35,0.69,0.3,310.0,361.0,0.39,0.0,0.0
Ward 6,DCPS,Eliot Hine MS,Middle,0.99,0.0,1.0,0.02,257.0,200.0,0.28,0.0,0.0
Ward 6,DCPS,J O Wilson ES,Elementary,0.94,0.06,0.9200000000000002,0.08,466.0,495.0,0.38,0.0,0.0
Ward 6,DCPS,Ludlow Taylor ES,Elementary,0.8,0.21,0.71,0.29,340.0,373.0,0.52,0.0,0.0
Ward 6,DCPS,Maury ES,Elementary,0.48,0.51,0.44000000000000006,0.56,366.0,387.0,0.88,0.0,0.0
Ward 6,DCPS,Miner ES,Elementary,0.96,0.03,0.91,0.08,398.0,384.0,0.53,0.0,0.0
Ward 6,DCPS,Payne ES,Elementary,0.9500000000000001,0.05,0.8400000000000001,0.16,277.0,300.0,0.42,0.0,1.0
Ward 6,DCPS,Peabody ES Capitol Hill Cluster,Early Childhood,0.42000000000000004,0.58,0.43,0.58,227.0,230.0,0.82,0.0,0.0
