timeframe,ward2012,ward2012_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2012,Ward 4,4,01Jan2012,31Dec2012,X,X,X,X,X,X,X,X,X,4536,16210
2013,Ward 4,4,01Jan2013,31Dec2013,X,X,X,X,X,X,X,X,X,4281,16331
2014,Ward 4,4,01Jan2014,31Dec2014,X,X,X,X,X,X,X,X,X,3843,15070
2015,Ward 4,4,01Jan2015,31Dec2015,X,X,X,X,X,X,X,X,X,3619,15362
2000,Ward 5,5,01Jan2000,31Dec2000,X,X,X,X,X,X,X,X,X,6052,10348
2001,Ward 5,5,01Jan2001,31Dec2001,X,X,X,X,X,X,X,X,X,5907,10103
2002,Ward 5,5,01Jan2002,31Dec2002,X,X,X,X,X,X,X,X,X,6114,10483
2003,Ward 5,5,01Jan2003,31Dec2003,X,X,X,X,X,X,X,X,X,6316,12027
2004,Ward 5,5,01Jan2004,31Dec2004,X,X,X,X,X,X,X,X,X,7109,13644
2005,Ward 5,5,01Jan2005,31Dec2005,X,X,X,X,X,X,X,X,X,7034,14136
2006,Ward 5,5,01Jan2006,31Dec2006,X,X,X,X,X,X,X,X,X,6493,13446
2007,Ward 5,5,01Jan2007,31Dec2007,X,X,X,X,X,X,X,X,X,5923,13223
2008,Ward 5,5,01Jan2008,31Dec2008,X,X,X,X,X,X,X,X,X,6089,14218
2009,Ward 5,5,01Jan2009,31Dec2009,X,X,X,X,X,X,X,X,X,6284,16407
2010,Ward 5,5,01Jan2010,31Dec2010,X,X,X,X,X,X,X,X,X,6256,18074
2011,Ward 5,5,01Jan2011,31Dec2011,X,X,X,X,X,X,X,X,X,6601,20628
2012,Ward 5,5,01Jan2012,31Dec2012,X,X,X,X,X,X,X,X,X,6582,21442
2013,Ward 5,5,01Jan2013,31Dec2013,X,X,X,X,X,X,X,X,X,6331,21502
2014,Ward 5,5,01Jan2014,31Dec2014,X,X,X,X,X,X,X,X,X,6059,20101
2015,Ward 5,5,01Jan2015,31Dec2015,X,X,X,X,X,X,X,X,X,5697,19703
2000,Ward 6,6,01Jan2000,31Dec2000,X,X,X,X,X,X,X,X,X,6212,12636
2001,Ward 6,6,01Jan2001,31Dec2001,X,X,X,X,X,X,X,X,X,6325,11900
2002,Ward 6,6,01Jan2002,31Dec2002,X,X,X,X,X,X,X,X,X,6228,12367
2003,Ward 6,6,01Jan2003,31Dec2003,X,X,X,X,X,X,X,X,X,6421,13845
2004,Ward 6,6,01Jan2004,31Dec2004,X,X,X,X,X,X,X,X,X,6522,14645
2005,Ward 6,6,01Jan2005,31Dec2005,X,X,X,X,X,X,X,X,X,6201,14315
2006,Ward 6,6,01Jan2006,31Dec2006,X,X,X,X,X,X,X,X,X,5453,13465
2007,Ward 6,6,01Jan2007,31Dec2007,X,X,X,X,X,X,X,X,X,4932,12918
2008,Ward 6,6,01Jan2008,31Dec2008,X,X,X,X,X,X,X,X,X,4485,13057
2009,Ward 6,6,01Jan2009,31Dec2009,X,X,X,X,X,X,X,X,X,4442,14195
2010,Ward 6,6,01Jan2010,31Dec2010,X,X,X,X,X,X,X,X,X,4520,15745
2011,Ward 6,6,01Jan2011,31Dec2011,X,X,X,X,X,X,X,X,X,4519,16951
2012,Ward 6,6,01Jan2012,31Dec2012,X,X,X,X,X,X,X,X,X,4506,17124
2013,Ward 6,6,01Jan2013,31Dec2013,X,X,X,X,X,X,X,X,X,4330,17034
2014,Ward 6,6,01Jan2014,31Dec2014,X,X,X,X,X,X,X,X,X,4206,15881
2015,Ward 6,6,01Jan2015,31Dec2015,X,X,X,X,X,X,X,X,X,3697,15277
2000,Ward 7,7,01Jan2000,31Dec2000,X,X,X,X,X,X,X,X,X,9729,16273
2001,Ward 7,7,01Jan2001,31Dec2001,X,X,X,X,X,X,X,X,X,9994,15873
2002,Ward 7,7,01Jan2002,31Dec2002,X,X,X,X,X,X,X,X,X,10418,16450
2003,Ward 7,7,01Jan2003,31Dec2003,X,X,X,X,X,X,X,X,X,10078,17365
2004,Ward 7,7,01Jan2004,31Dec2004,X,X,X,X,X,X,X,X,X,10347,18280
2005,Ward 7,7,01Jan2005,31Dec2005,X,X,X,X,X,X,X,X,X,10637,19453
2006,Ward 7,7,01Jan2006,31Dec2006,X,X,X,X,X,X,X,X,X,10492,20062
2007,Ward 7,7,01Jan2007,31Dec2007,X,X,X,X,X,X,X,X,X,10177,19719
2008,Ward 7,7,01Jan2008,31Dec2008,X,X,X,X,X,X,X,X,X,10074,20432
2009,Ward 7,7,01Jan2009,31Dec2009,X,X,X,X,X,X,X,X,X,11032,23892
2010,Ward 7,7,01Jan2010,31Dec2010,X,X,X,X,X,X,X,X,X,11345,26834
2011,Ward 7,7,01Jan2011,31Dec2011,X,X,X,X,X,X,X,X,X,11781,30189
2012,Ward 7,7,01Jan2012,31Dec2012,X,X,X,X,X,X,X,X,X,12066,32017
2013,Ward 7,7,01Jan2013,31Dec2013,X,X,X,X,X,X,X,X,X,12338,33773
