timeframe,ward2012,TotPop,TotPop_m,ward2012_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
2010,Ward 3,78887,.,3,1-Jan-10,31-Dec-10,13,14,.,5.6,78,7.5,8.2,.,.,.,.,.,.,.,.,.,X,X,X,1
2010,Ward 4,75773,.,4,1-Jan-10,31-Dec-10,20,15,.,59,20,19,2,.,.,.,.,.,.,.,.,.,X,X,X,1
2010,Ward 5,74308,.,5,1-Jan-10,31-Dec-10,17,15,.,77,15,6.3,1.7,.,.,.,.,.,.,.,.,.,X,X,X,1
2010,Ward 6,76000,.,6,1-Jan-10,31-Dec-10,14,10,.,43,47,4.8,5.1,.,.,.,.,.,.,.,.,.,X,X,X,1
2010,Ward 7,71748,.,7,1-Jan-10,31-Dec-10,24,13,.,95,1.5,2.7,0.3,.,.,.,.,.,.,.,.,.,X,X,X,1
2010,Ward 8,73662,.,8,1-Jan-10,31-Dec-10,30,8.1,.,94,3.2,1.8,0.5,.,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 1,71711,.,1,1-Jan-00,31-Dec-00,18,7.6,29,47,24,25,3.6,47,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 2,63408,.,2,1-Jan-00,31-Dec-00,6.2,8.9,21,15,66,10,8.5,26,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 3,75375,.,3,1-Jan-00,31-Dec-00,12,14,20,6.2,80,6.7,6.4,12,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 4,75001,.,4,1-Jan-00,31-Dec-00,20,18,18,71,15,12,1.4,40,.,.,.,.,.,.,.,.,X,X,X,1
